"AtcoCode","TiplocCode","CrsCode","StationName","StationNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification",SV0000000000,"Latitude","Longitude"
"9100ABDARE","ABDARE","ABA","Aberdare Rail Station","","U",300400,202800,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",SO0040002800,51.715056,-3.4430834
"9100ABDO","ABDO","AUR","Aberdour Rail Station","","U",319100,685400,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NT1910085400,56.054590,-3.3005600
"9100ABDVY","ABDVY","AVY","Aberdovey Rail Station","","U",260600,296000,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SN6060096000,52.543955,-4.0570670
"9100ABER","ABER","ABE","Aber Rail Station","","U",314870,186950,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev",ST1487086950,51.574964,-3.2298284
"9100ABGLELE","ABGLELE","AGL","Abergele & Pensarn Rail Station","","U",294612,378681,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SH9461278681,53.294571,-3.5826219
"9100ABRCYNS","ABRCYNS","ACY","Abercynon Rail Station","","U",308278,194824,"2003-11-04T00:00:00","2008-06-05T17:01:49",2,"rev",ST0827894824,51.644707,-3.3269879
"9100ABRDEEN","ABRDEEN","ABD","Aberdeen Rail Station","","U",394127,805872,"2003-11-04T00:00:00","2009-04-15T15:26:29",2,"rev",NJ9412705872,57.143703,-2.0986851
"9100ABRE","ABRE","ABH","Abererch Rail Station","","U",240400,336100,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SH4040036100,52.898581,-4.3741754
"9100ABRGVNY","ABRGVNY","AGV","Abergavenny Rail Station","","U",330500,213600,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",SO3050013600,51.816688,-3.0096468
"9100ABRYSTH","ABRYSTH","AYW","Aberystwyth Rail Station","","U",258500,281600,"2003-11-04T00:00:00","2007-02-13T17:06:21",4,"rev",SN5850081600,52.414043,-4.0818934
"9100ABWD","ABWD","ABW","Abbey Wood (London) Rail Station","","U",547374,179035,"2003-11-04T00:00:00","2010-05-14T17:36:24",2,"rev",TQ4737479035,51.491061,0.12139403
"9100ACBG","ACBG","ACB","Acton Bridge Rail Station","","U",359870,374560,"2003-11-04T00:00:00","2011-03-24T17:35:58",2,"rev",SJ5987074560,53.266506,-2.6031265
"9100ACHANLT","ACHANLT","AAT","Achanalt Rail Station","","U",226020,861473,"2003-11-04T00:00:00","2010-02-25T14:53:53",2,"rev",NH2602061473,57.609594,-4.9138511
"9100ACHHSHL","ACHHSHL","ACH","Achnashellach Rail Station","","U",200290,848440,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev",NH0029048440,57.482073,-5.3330551
"9100ACHILCK","ACHILCK","AUK","Auchinleck Rail Station","","U",255000,622000,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NS5500022000,55.470272,-4.2953491
"9100ACHNSHN","ACHNSHN","ACN","Achnasheen Rail Station","","U",216403,858519,"2003-11-04T00:00:00","2010-02-25T14:54:15",2,"rev",NH1640358519,57.579288,-5.0723320
"9100ACKLNGT","ACKLNGT","ACK","Acklington Rail Station","","U",422200,601500,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NU2220001500,55.307097,-1.6518346
"9100ACLE","ACLE","ACL","Acle Rail Station","","U",639900,310000,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev",TG3990010000,52.634680,1.5439151
"9100ACOCKSG","ACOCKSG","ACG","Acocks Green Rail Station","","U",412400,283500,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SP1240083500,52.449321,-1.8189754
